InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,1
800,0,1
900,0,1
1000,0,1
1100,1,1
1200,1,1
1300,1,5
1400,1,2
1500,1,2
1600,1,2
1700,2,6
1800,2,3
1900,2,3
2000,2,6
2100,2,4
2200,3,8
2300,3,5
2400,3,8
2500,3,5
2600,4,6
2700,4,10
2800,4,10
2900,5,11
3000,5,11
3100,5,11
3200,6,12
3300,6,13
3400,6,14
3500,7,11
3600,7,15
3700,7,15
3800,8,16
3900,8,17
4000,9,18
4100,9,18
4200,10,22
4300,10,23
4400,11,23
4500,11,24
4600,11,22
4700,12,23
4800,12,24
4900,13,28
5000,13,25
5100,14,29
5200,14,31
5300,15,32
5400,16,33
5500,16,34
5600,17,35
5700,18,36
5800,19,37
5900,19,41
6000,20,42
6100,20,43
6200,21,45
6300,22,46
6400,22,47
6500,23,48
6600,23,49
6700,25,51
6800,25,52
6900,27,54
7000,27,58
7100,28,59
7200,28,61
7300,29,62
7400,30,64
7500,30,69
7600,32,67
7700,33,73
7800,33,69
7900,34,76
8000,35,78
8100,35,78
8200,36,81
8300,38,83
8400,40,87
8500,40,88
8600,40,89
8700,42,94
8800,43,95
8900,45,95
9000,46,98
9100,46,103
9200,47,107
9300,48,108
9400,49,110
9500,51,111
9600,53,113
9700,51,116
9800,53,118
9900,55,121
10000,56,124
10100,57,126
10200,58,128
10300,59,134
10400,60,136
10500,62,137
10600,63,137
10700,64,142
10800,65,143
10900,66,148
11000,69,148
11100,70,153
11200,70,157
11300,72,159
11400,77,162
11500,75,165
11600,75,167
11700,78,171
11800,79,170
11900,82,171
12000,84,176
12100,84,179
12200,85,180
12300,93,184
12400,88,193
12500,90,219
12600,90,206
12700,93,201
12800,95,203
12900,97,204
13000,99,208
13100,100,214
13200,101,215
13300,102,221
13400,105,221
13500,106,227
13600,107,235
13700,113,236
13800,112,237
13900,113,238
14000,115,240
14100,118,244
14200,122,254
14300,123,250
14400,124,252
14500,125,256
14600,128,261
14700,128,268
14800,133,268
14900,132,280
15000,135,277
15100,137,287
15200,139,291
15300,141,292
15400,144,292
15500,145,294
15600,146,307
15700,152,307
15800,152,310
15900,153,314
16000,157,320
16100,161,326
16200,160,324
16300,163,329
16400,165,329
16500,166,336
16600,170,339
16700,170,343
16800,174,358
16900,175,356
17000,178,361
17100,180,369
17200,183,374
17300,187,376
17400,191,380
17500,191,386
17600,194,393
17700,193,394
17800,196,419
17900,200,397
18000,202,404
18100,206,411
18200,207,411
18300,208,419
18400,211,420
18500,212,425
18600,216,435
18700,220,438
18800,221,467
18900,222,451
19000,226,450
19100,228,461
19200,231,461
19300,232,467
19400,235,469
19500,238,475
19600,241,477
19700,246,487
19800,247,484
19900,251,488
