InputListSize,list.get(),list.iterator(),for each
0,0,0,0
100,2276,228,228
200,7850,341,341
300,20252,455,569
400,39139,683,910
500,62578,797,1138
600,91250,1138,1138
700,127090,1593,1365
800,169187,1821,1820
900,216746,2389,2162
1000,270336,2503,2617
1100,330183,2617,2389
1200,396060,3186,2844
1300,467854,3413,3073
1400,547612,3527,3527
1500,635562,3868,3641
1600,773688,4323,3868
1700,894293,4323,4096
1800,1046982,4665,4323
1900,1162012,4779,4779
2000,1232440,5120,4892
2100,1534747,5348,5234
2200,1701659,5575,5461
2300,1892009,5803,5575
2400,2091689,6485,5803
2500,2069730,6485,6372
2600,2185100,6712,6258
2700,2373289,6941,6371
2800,2559770,7282,7054
2900,2744545,7396,7054
3000,2959358,7850,7509
3100,3150504,8306,7623
3200,3431990,8533,7851
3300,3608004,8875,8192
3400,3835445,9102,8647
3500,4074265,9558,8647
3600,4331971,9557,9216
3700,4580007,9785,9102
3800,4817233,10126,9330
3900,5071071,10581,9330
4000,5382708,10240,9899
4100,5644397,10809,11036
4200,5914960,11036,14677
4300,6236496,11150,10809
4400,6502508,11491,11036
4500,6819265,11947,15360
4600,7146149,12515,12174
4700,7467912,12971,12402
4800,7805718,13084,13312
4900,8128050,13312,13881
5000,8452317,13425,13539
5100,8831423,13994,13881
5200,9193919,13767,14336
5300,9561535,14222,14336
5400,9915611,14677,14222
5500,10346715,14905,14450
5600,11608168,15246,14791
5700,11340790,15815,15133
5800,12325308,16043,15815
5900,12588363,16498,15360
6000,12600423,16726,15246
6100,12725579,16839,15929
6200,13213457,17180,16043
6300,13598253,17522,16839
6400,14065083,17977,16839
6500,16223218,18318,16612
6600,14918302,18773,17408
6700,15320961,19342,18091
6800,15894742,19229,18091
6900,16522340,19684,18204
7000,16901674,19798,18887
7100,17259619,20139,31630
7200,17699711,20139,24235
7300,18245844,20707,19342
7400,18778665,21049,19456
7500,19305569,21276,19683
7600,19782980,21845,21845
7700,20343677,21959,20821
7800,20818812,22642,22869
7900,24823218,23894,20935
8000,24979321,22755,21618
8100,22607398,22983,21390
8200,22960677,23324,21732
8300,23586000,26283,22983
8400,24149540,24121,23211
8500,24925959,24348,23666
8600,25329415,24690,22755
8700,25927544,27534,23211
8800,26493816,29355,23666
8900,27021858,25828,24007
9000,27761071,26282,23780
9100,28362728,26738,24235
9200,29076228,28558,24007
9300,29715545,26965,24690
9400,30426996,27648,24804
9500,31003053,27989,25031
9600,31772531,29127,25259
9700,32407411,29582,25600
9800,33023630,29924,26169
9900,33796409,32085,26055
10000,34575331,29582,26624
10100,35373822,30493,26624
10200,36293032,30265,27762
10300,36432978,30379,27420
10400,37111549,30720,27989
10500,37833582,31516,27762
10600,38685435,33337,28331
10700,39617047,31630,30720
10800,40236908,31744,29127
10900,40825252,33337,28899
11000,41739115,31858,29469
11100,54251019,32996,30265
11200,43852194,33906,32882
11300,44681064,35385,30265
11400,46451900,34361,32654
11500,47367696,41415,31630
11600,46990296,34247,33109
11700,48007354,38002,34702
11800,49541874,37774,32313
11900,49736889,38343,32654
12000,50132380,37205,34133
12100,56906476,37660,42439
12200,53228499,37547,35271
12300,53320203,38002,35726
12400,54009014,49948,38684
12500,55294815,38115,42212
12600,64320229,38912,41643
12700,57504491,37774,36523
12800,58554204,39367,36409
12900,64167199,40050,38002
13000,67614662,40733,36067
13100,62127620,41984,36751
13200,73181349,45738,38115
13300,64706050,41756,38571
13400,65654500,44601,39026
13500,65355379,40277,45625
13600,66747449,47332,43008
13700,67969307,43235,47445
13800,69147930,70542,39367
13900,69429644,46080,39708
14000,70678695,48014,51655
14100,71799405,45056,46422
14200,73384556,43690,49266
14300,74196246,45966,48697
14400,75423452,44829,112526
14500,76743273,46763,49379
14600,77624026,46308,44942
14700,79508071,47901,43804
14800,80060917,49493,42212
14900,81412481,50517,47787
15000,82285384,53134,44828
15100,84428614,56661,45283
15200,89671490,60530,46649
15300,87766510,51769,44601
15400,92050809,56206,50404
15500,102225378,49948,47104
15600,100854243,57003,55751
15700,93709232,51200,49607
15800,92489194,51769,48924
15900,94320560,52338,51200
16000,95744942,57685,51086
16100,96433638,55979,51655
16200,103353256,55979,49948
16300,99181711,57799,51541
16400,101331085,58595,56775
16500,104584672,58823,51314
16600,104803580,61781,54044
16700,105246516,62805,53589
16800,117206144,66560,55296
16900,107643243,55524,51541
17000,119495465,59961,53248
17100,110846540,67925,55523
17200,112056793,62692,51427
17300,118275085,62009,56320
17400,134854882,66674,59278
17500,132487396,62236,65081
17600,118113407,61440,56889
17700,119152993,60644,84878
17800,121644952,68494,69404
17900,122033275,66901,64398
18000,126914566,80782,61212
18100,127203447,74866,59506
18200,126775643,66560,69746
18300,128640914,60757,63829
18400,130812703,68949,63147
18500,130737723,64284,62578
18600,132555663,60644,61554
18700,136087095,69405,68949
18800,160973687,61213,63260
18900,141671189,70201,60643
19000,139910138,64171,67242
19100,141125512,70884,64740
19200,143508471,141539,71794
19300,144249164,101945,71907
19400,145225377,119353,63829
19500,147335384,79303,78848
19600,149400449,65195,67356
19700,152534227,74297,68835
19800,156271255,72249,74183
19900,153047933,79303,68836
