InputIndices,TestResults
0,0
100,0
200,0
300,0
400,3
500,0
600,0
700,0
800,0
900,3
1000,0
1100,0
1200,3
1300,3
1400,3
1500,3
1600,6
1700,0
1800,0
1900,6
2000,6
2100,3
2200,0
2300,6
2400,6
2500,6
2600,0
2700,11
2800,7
2900,1
3000,6
3100,6
3200,6
3300,3
3400,9
3500,6
3600,6
3700,9
3800,3
3900,13
4000,0
4100,12
4200,3
4300,12
4400,3
4500,13
4600,6
4700,10
4800,13
4900,6
5000,9
5100,9
5200,14
5300,8
5400,9
5500,10
5600,9
5700,12
5800,9
5900,9
6000,13
6100,12
6200,13
6300,12
6400,13
6500,12
6600,13
6700,12
6800,13
6900,18
7000,12
7100,13
7200,12
7300,15
7400,13
7500,16
7600,15
7700,13
7800,12
7900,16
8000,19
8100,16
8200,16
8300,16
8400,18
8500,15
8600,16
8700,14
8800,16
8900,16
9000,22
9100,19
9200,24
9300,15
9400,19
9500,21
9600,13
9700,22
9800,16
9900,22
10000,19
10100,16
10200,16
10300,18
10400,19
10500,19
10600,19
10700,16
10800,16
10900,19
11000,15
11100,16
11200,16
11300,16
11400,16
11500,15
11600,16
11700,14
11800,12
11900,11
12000,16
12100,16
12200,9
12300,16
12400,12
12500,12
12600,16
12700,13
12800,12
12900,13
13000,16
13100,9
13200,13
13300,11
13400,11
13500,6
13600,13
13700,10
13800,6
13900,12
14000,13
14100,6
14200,12
14300,6
14400,9
14500,10
14600,6
14700,9
14800,6
14900,6
15000,9
15100,6
15200,9
15300,6
15400,9
15500,3
15600,13
15700,3
15800,9
15900,3
16000,3
16100,13
16200,1
16300,7
16400,7
16500,0
16600,6
16700,6
16800,3
16900,6
17000,6
17100,3
17200,3
17300,3
17400,6
17500,3
17600,3
17700,3
17800,3
17900,3
18000,3
18100,3
18200,3
18300,0
18400,3
18500,3
18600,3
18700,3
18800,0
18900,3
19000,0
19100,0
19200,0
19300,0
19400,0
19500,3
19600,0
19700,0
19800,0
19900,0
