ListSizes,TestResult
0,0
1000,3
2000,3
3000,6
4000,0
5000,9
6000,6
7000,9
8000,9
9000,12
10000,16
11000,13
12000,15
13000,19
14000,16
15000,19
16000,22
17000,22
18000,22
19000,28
20000,22
21000,25
22000,28
23000,31
24000,31
25000,31
26000,32
27000,34
28000,34
29000,38
30000,47
31000,34
32000,44
33000,41
34000,47
35000,44
36000,50
37000,47
38000,47
39000,50
40000,50
41000,55
42000,56
43000,50
44000,59
45000,56
46000,56
47000,60
48000,62
49000,66
50000,66
51000,66
52000,66
53000,66
54000,69
55000,69
56000,78
57000,78
58000,78
59000,75
60000,75
61000,81
62000,78
63000,85
64000,81
65000,84
66000,82
67000,84
68000,88
69000,90
70000,94
71000,94
72000,91
73000,93
74000,107
75000,97
76000,97
77000,100
78000,97
79000,113
80000,100
81000,109
82000,100
83000,112
84000,116
85000,113
86000,109
87000,110
88000,128
89000,112
90000,125
91000,122
92000,122
93000,128
94000,116
95000,122
96000,134
97000,128
98000,125
99000,125
100000,140
101000,128
102000,135
103000,128
104000,147
105000,131
106000,143
107000,131
108000,149
109000,141
110000,140
111000,160
112000,147
113000,144
114000,156
115000,156
116000,147
117000,150
118000,172
119000,153
120000,153
121000,172
122000,153
123000,157
124000,172
125000,166
126000,162
127000,178
128000,162
129000,166
130000,178
131000,169
132000,166
133000,188
134000,169
135000,175
136000,188
137000,172
138000,175
139000,200
140000,175
141000,187
142000,197
143000,178
144000,206
145000,185
146000,187
147000,210
148000,188
149000,200
150000,200
151000,191
152000,216
153000,194
154000,197
155000,212
156000,194
157000,225
158000,197
159000,213
160000,213
161000,203
162000,231
163000,209
164000,225
165000,219
166000,219
167000,221
168000,216
169000,240
170000,212
171000,241
172000,219
173000,240
174000,219
175000,231
176000,235
177000,225
178000,256
179000,232
180000,256
181000,240
182000,263
183000,228
184000,263
185000,235
186000,262
187000,238
188000,265
189000,241
190000,275
191000,241
192000,291
193000,247
194000,278
195000,256
196000,278
197000,250
198000,284
199000,256
