K,TestResult
0,0
1000,365
2000,369
3000,398
4000,376
5000,376
6000,433
7000,427
8000,456
9000,443
10000,439
11000,451
12000,462
13000,449
14000,463
15000,469
16000,463
17000,450
18000,471
19000,409
20000,425
21000,460
22000,468
23000,460
24000,486
25000,487
26000,485
27000,511
28000,496
29000,502
30000,504
31000,504
32000,520
33000,512
34000,515
35000,516
36000,502
37000,538
38000,520
39000,510
40000,517
41000,523
42000,518
43000,531
44000,536
45000,540
46000,540
47000,530
48000,535
49000,548
50000,545
51000,505
52000,442
53000,425
54000,430
55000,442
56000,508
57000,526
58000,544
59000,534
60000,514
61000,523
62000,536
63000,458
64000,442
65000,466
66000,439
67000,447
68000,441
69000,442
70000,439
71000,434
72000,436
73000,432
74000,436
75000,434
76000,441
77000,441
78000,436
79000,442
80000,454
81000,439
82000,428
83000,442
84000,441
85000,439
86000,447
87000,441
88000,425
89000,445
90000,458
91000,468
92000,442
93000,439
94000,460
95000,448
96000,439
97000,441
98000,435
99000,454
100000,446
101000,457
102000,454
103000,446
104000,461
105000,499
106000,480
107000,473
108000,459
109000,451
110000,455
111000,451
112000,447
113000,453
114000,453
115000,472
116000,456
117000,444
118000,459
119000,460
120000,459
121000,455
122000,466
123000,471
124000,469
125000,466
126000,451
127000,479
128000,476
129000,468
130000,498
131000,477
132000,463
133000,444
134000,457
135000,480
136000,475
137000,457
138000,469
139000,505
140000,507
141000,475
142000,494
143000,481
144000,461
145000,454
146000,475
147000,479
148000,463
149000,459
150000,481
151000,484
152000,468
153000,456
154000,464
155000,472
156000,467
157000,454
158000,475
159000,465
160000,465
161000,469
162000,464
163000,458
164000,481
165000,469
166000,461
167000,483
168000,459
169000,500
170000,479
171000,447
172000,475
173000,467
174000,506
175000,472
176000,485
177000,486
178000,457
179000,493
180000,448
181000,489
182000,508
183000,486
184000,498
185000,483
186000,510
187000,477
188000,510
189000,479
190000,510
191000,473
192000,501
193000,466
194000,508
195000,461
196000,514
197000,488
198000,539
199000,597
