DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,0
2000,0,0,1
3000,0,0,1
4000,0,0,4
5000,0,0,5
6000,6,0,5
7000,10,3,2
8000,9,3,2
9000,16,3,8
10000,16,6,4
11000,15,3,5
12000,16,6,8
13000,25,6,8
14000,22,10,9
15000,31,6,12
16000,34,6,12
17000,62,16,19
18000,62,16,19
19000,62,16,19
20000,75,25,19
21000,78,16,17
22000,78,22,18
23000,94,25,18
24000,94,31,21
25000,106,31,19
26000,110,31,26
27000,119,31,17
28000,128,34,24
29000,131,34,23
30000,147,38,22
31000,165,41,24
32000,163,47,24
33000,268,75,39
34000,275,69,40
35000,294,72,42
36000,313,75,38
37000,341,78,37
38000,341,84,45
39000,347,87,43
40000,381,91,42
41000,394,93,42
42000,409,100,38
43000,425,97,37
44000,450,100,37
45000,459,106,38
46000,500,113,52
47000,513,116,52
48000,559,122,46
49000,587,131,48
50000,613,140,53
51000,628,137,51
52000,725,143,49
53000,722,147,48
54000,719,159,47
55000,762,159,54
56000,788,172,47
57000,831,178,50
58000,872,181,56
59000,909,184,48
60000,944,194,48
61000,953,191,59
62000,991,213,53
63000,1091,219,56
64000,1103,225,51
65000,1727,306,91
66000,1753,313,84
67000,1760,312,88
68000,1807,331,85
69000,1891,331,81
70000,1872,347,97
71000,1903,353,99
72000,2038,366,100
73000,1913,372,98
74000,1938,385,98
75000,2131,394,92
76000,2119,400,91
77000,2175,419,100
78000,2397,425,90
79000,2450,428,102
